proteinA;proteinB
Q04847;Q03694
Q04847;P38292
Q04847;Q12524
P39015;P23542
P39015;P24004
P39015;P40155
P39015;Q06169
P39015;P23542
P39015;P53248
P39015;P38855
P39015;P46983
P39015;Q03824
P39015;P41909
P25644;Q08215
P25644;Q12462
P25644;P29340
P25644;Q08215
P25644;P24004
P25644;Q07418
P25644;P41903
P25644;P32796
P25644;P40155
P25644;P39108
P40484;P13711
P40484;P29340
P40484;Q12405
P40484;Q06497
P40484;Q02969
P40484;P36168
P40484;P32796
P40484;P13711
P40484;P53248
P53281;P53248
P53281;P40155
P53281;P25584
P53281;Q12524
P53281;P13711
P53281;Q03824
P53281;P13711
P53281;P32800
P53281;P32800
P53281;P35056
Q02793;Q12462
Q02793;P27796
Q02793;Q03370
Q02793;P53184
Q02793;Q12462
Q02793;P23542
Q02793;P53112
Q02793;P53112
Q02793;P32796
Q02793;P53248
P25293;P29340
P25293;P29340
P25293;P80667
P25293;Q03370
P25293;Q03694
P25293;P36168
P25293;Q12405
P25293;Q05568
P25293;P41903
P25293;Q03824
P40554;P38137
P40554;P13711
P40554;Q07418
P40554;Q03694
P40554;Q12524
P40554;Q03694
P40554;P28795
P40554;P35056
P40554;P41903
P40554;P46983
P53082;P41903
P53082;P36168
P53082;P46983
P53082;P32573
P53082;P29340
P53082;Q06497
P53082;P41903
P53082;Q03370
P53082;P38855
P53082;P50091
P40565;P38292
P40565;P32573
P40565;Q12405
P40565;P53248
P40565;P28795
P40565;P29340
P40565;P35056
P40565;Q12524
P40565;P34230
P40565;Q12462
P47019;P38292
P47019;P53248
P47019;P53112
P47019;P28795
P47019;P32796
P47019;Q03694
P47019;P38855
P47019;Q05871
P47019;Q12524
P47019;P34230
Q03677;P39718
Q03677;P53248
Q03677;P39718
Q03677;Q05568
Q03677;Q12524
Q03677;P27796
Q03677;P38855
Q03677;P46983
Q03677;P23542
Q03677;Q04370
Q12055;P28795
Q12055;P38855
Q12055;P27796
Q12055;P13711
Q12055;P24004
Q12055;P35056
Q12055;Q03370
Q12055;P23542
Q12055;Q07418
Q12055;P80667
P05759;P43601
P05759;P38244
P05759;P50944
P05759;P40152
P05759;P38929
P05759;P32578
P05759;P53950
P05759;P32600
P05759;P14359
P05759;P25568
Q12411;P38778
Q12411;P38929
Q12411;P39981
Q12411;P42839
Q12411;P37302
Q12411;Q02948
Q12411;P38356
Q12411;Q08236
Q12411;P32366
Q12411;P53838
Q07732;Q03897
Q07732;P14904
Q07732;Q07468
Q07732;P38932
Q07732;P38310
Q07732;P14772
Q07732;P40061
Q07732;P47075
Q07732;P18962
Q08550;Q04119
Q08550;P38316
Q08550;Q12016
Q08550;P35845
Q08550;Q12408
Q08550;Q05637
Q08550;P47818
Q08550;P53011
Q08550;P22855
Q08550;Q04991
Q04053;P27801
Q04053;P22203
Q04053;Q05902
Q04053;P53273
Q04053;P39923
Q04053;P20795
Q04053;P40061
Q04053;Q03899
Q04053;P38329
Q04053;P32318
Q12142;P53838
Q12142;P38865
Q12142;P32837
Q12142;Q06651
Q12142;P40061
Q12142;Q05899
Q12142;P32939
Q12142;P14904
Q12142;P36062
Q12142;Q12331
P40155;P42839
P40155;Q04329
P40155;Q12380
P40155;P27801
P40155;Q12096
P40155;Q12042
P40155;P38821
P40155;P53838
P40155;Q07895
P40155;Q04119
P53112;Q04329
P53112;Q08001
P53112;P32318
P53112;Q08743
P53112;P32600
P53112;P40152
P53112;P32343
P53112;P41318
P53112;P40451
P53112;Q12380
P32454;Q12473
P32454;Q03730
P32454;P42836
P32454;P53191
P32454;P40061
P32454;P38959
P32454;P31412
P32454;P14772
P32454;Q00582
P32454;P32913
P29496;P43560
P29496;Q12324
P29496;Q12380
P29496;P32318
P29496;Q07376
P29496;Q03308
P29496;Q05637
P29496;P40152
P29496;P38316
P29496;P38836
P34078;P27514
P34078;Q07549
P34078;P38778
P34078;P17255
P34078;P53747
P34078;Q05637
P34078;Q03899
P34078;Q12255
P34078;P38865
P34078;P14772
P33418;Q04991
P33418;Q04329
P33418;Q12301
P33418;Q04491
P33418;Q04749
P33418;Q04602
P33418;Q04272
P33418;P53882
P33418;P38742
P33418;P41807
P19880;P32609
P19880;Q08001
P19880;P17255
P19880;Q04934
P19880;Q12016
P19880;P32913
P19880;P47040
P19880;P20795
P19880;Q12324
P19880;Q04272
P25298;Q02948
P25298;P38316
P25298;Q04602
P25298;P53273
P25298;P38929
P25298;P40061
P25298;P32609
P25298;P17261
P25298;P32600
P25298;P38358
P43563;Q07895
P43563;Q04562
P43563;Q12527
P43563;P53882
P43563;P36051
P43563;P33894
P43563;Q12042
P43563;P38310
P43563;P00729
P43563;Q02725
Q99257;P37302
Q99257;Q03308
Q99257;Q12042
Q99257;P47170
Q99257;P09232
Q99257;Q05902
Q99257;Q07468
Q99257;P32578
Q99257;P38247
Q99257;P14359
P20433;P41318
P20433;P38778
P20433;P38742
P20433;P38873
P20433;Q08236
P20433;P32609
P20433;P38742
P20433;P31412
P20433;Q12473
P20433;Q99190
P34087;P38873
P34087;Q04749
P34087;Q12096
P34087;Q03730
P34087;P38273
P34087;P33894
P34087;P32578
P34087;P47082
P34087;P35845
P34087;P32842
P47017;Q03730
P47017;Q02948
P47017;P40152
P47017;P38959
P47017;Q07376
P47017;P50944
P47017;P32913
P47017;P22203
P47017;P36062
P47017;Q04119
P38989;Q03308
P38989;P40857
P38989;P18962
P38989;P25591
P38989;P38247
P38989;P38821
P38989;Q04991
P38989;P38310
P38989;P35845
P38989;P53950
Q12267;Q05637
Q12267;Q99190
Q12267;P40501
Q12267;P40857
Q12267;P41318
Q12267;P40501
Q12267;P34756
Q12267;P33894
Q12267;Q05902
Q12267;P18962
Q12098;Q03897
Q12098;P27514
Q12098;Q03308
Q12098;P32912
Q12098;Q07549
Q12098;P38356
Q12098;P20795
Q12098;P14359
Q12098;Q04301
Q12098;P43601
P09959;Q12324
P09959;Q12473
P09959;P14904
P09959;Q04119
P09959;Q12331
P09959;P47170
P09959;P32837
P09959;P41318
P09959;P27801
P09959;P38182
P46970;P37302
P46970;P32600
P46970;Q12408
P46970;P38821
P46970;Q03899
P46970;P32386
P46970;Q12380
P46970;P32837
P46970;P32913
P46970;P53129
P43583;P53290
P43583;P40061
P43583;Q12331
P43583;Q99190
P43583;P32609
P43583;P22855
P43583;P12868
P43583;P38959
P43583;P38244
P43583;Q08236
Q08920;Q12527
Q08920;P40003
Q08920;P32366
Q08920;Q04991
Q08920;P09232
Q08920;Q04991
Q08920;P33894
Q08920;Q04602
Q08920;P40061
Q08920;Q99190
P32526;Q07468
P32526;P47082
P32526;P53104
P32526;Q03308
P32526;P42839
P32526;P32318
P32526;P41318
P32526;P00729
P32526;P40061
P32526;Q12380
Q12386;P32386
Q12386;P53838
Q12386;P31412
Q12386;P53882
Q12386;P32366
Q12386;P53838
Q12386;Q04602
Q12386;P41807
Q12386;P43601
Q12386;Q03899
P38198;P42951
P38198;Q06651
P38198;Q03897
P38198;Q12380
P38198;P38356
P38198;P25613
P38198;P53838
P38198;P32578
P38198;P50944
P38198;Q06708
P53267;Q08474
P53267;P53947
P53267;P38310
P53267;P25613
P53267;Q02725
P53267;P38836
P53267;P27614
P53267;P38836
P53267;P38836
P53267;Q04491
P38991;P32913
P38991;Q12003
P38991;P25568
P38991;P33894
P38991;P47170
P38991;P43560
P38991;Q03730
P38991;P31412
P38991;P53950
P38991;Q03308
P32380;P00729
P32380;Q12408
P32380;P43560
P32380;Q04329
P32380;Q08743
P32380;Q12527
P32380;P47170
P32380;Q07549
P32380;P32913
P32380;P38358
P40457;P14359
P40457;P47040
P40457;P42951
P40457;P38865
P40457;Q03308
P40457;P18962
P40457;P32600
P40457;P40003
P40457;P32600
P40457;P53191
Q01649;P47818
Q01649;Q12408
Q01649;P25591
Q01649;P42951
Q01649;Q04272
Q01649;P38301
Q01649;P34756
Q01649;P18962
Q01649;Q03308
Q01649;Q12241
P38863;P14904
P38863;Q12255
P38863;P38932
P38863;P27614
P38863;P53882
P38863;P40857
P38863;P14904
P38863;Q12380
P38863;P42839
P38863;Q04119
P53540;Q12241
P53540;P38164
P53540;P14904
P53540;P36051
P53540;Q04329
P53540;P22203
P53540;P38865
P53540;P43601
P53540;P38356
P53540;Q04491
Q12236;P38301
Q12236;P17255
Q12236;Q12527
Q12236;P32578
Q12236;P53838
Q12236;P38742
Q12236;P53290
Q12236;P39981
Q12236;P38358
Q12236;Q12324
P38203;Q12255
P38203;P53290
P38203;Q12527
P38203;P38142
P38203;Q12096
P38203;P38865
P38203;P42951
P38203;P32578
P38203;P38358
P38203;Q03899
P32790;Q12003
P32790;Q04562
P32790;P47075
P32790;P53747
P32790;Q03897
P32790;P34756
P32790;Q99385
P32790;P25591
P32790;P38865
P32790;Q05902
Q6WNK7;P38142
Q6WNK7;P25591
Q6WNK7;P17261
Q6WNK7;P38142
Q6WNK7;Q07468
Q6WNK7;P31412
Q6WNK7;P32386
Q6WNK7;P53747
Q6WNK7;P40003
Q6WNK7;P27801
P39715;P32609
P39715;P39968
P39715;Q99385
P39715;P42839
P39715;P53290
P39715;P14359
P39715;P38778
P39715;Q12331
P39715;Q08921
P39715;P50944
Q00684;P38821
Q00684;P32912
Q00684;Q04934
Q00684;Q05899
Q00684;P32366
Q00684;Q08743
Q00684;Q06708
Q00684;P07267
Q00684;P47818
Q00684;P38273
P46963;P38270
P46963;Q08474
P46963;Q03730
P46963;Q04272
P46963;P32366
P46963;P35845
P46963;P40152
P46963;P42839
P46963;P37302
P46963;P40003
Q03957;P38778
Q03957;P42836
Q03957;P38273
Q03957;P27801
Q03957;Q12301
Q03957;Q04119
Q03957;P40501
Q03957;P42839
Q03957;P22203
Q03957;P38247
Q12080;P17261
Q12080;P53273
Q12080;P53104
Q12080;P38176
Q12080;Q04602
Q12080;P47818
Q12080;Q03308
Q12080;Q12121
Q12080;P38270
Q12080;Q99190
P33322;Q07468
P33322;P53950
P33322;Q12121
P33322;P32366
P33322;P47114
P33322;P32343
P33322;Q03308
P33322;P32837
P33322;P47082
P33322;Q08743
P33201;Q12016
P33201;P40501
P33201;P25591
P33201;P38821
P33201;P38356
P33201;P27801
P33201;P38142
P33201;P53882
P33201;P32578
P33201;Q03308
P38181;Q12331
P38181;P31412
P38181;P38742
P38181;Q05899
P38181;Q06651
P38181;Q04272
P38181;P20795
P38181;P00729
P38181;Q12016
P38181;P50944
P40066;Q04934
P40066;P14904
P40066;Q04329
P40066;P35845
P40066;Q04301
P40066;P17255
P40066;P14359
P40066;P27801
P40066;Q00582
P40066;Q12042
Q02199;P32913
Q02199;Q04301
Q02199;P17261
Q02199;P09232
Q02199;P43601
Q02199;P43560
Q02199;P47818
Q02199;P39981
Q02199;P38310
Q02199;P32837
Q03790;P38310
Q03790;P41318
Q03790;P32386
Q03790;Q04562
Q03790;P37302
Q03790;P32366
Q03790;Q06708
Q03790;P38182
Q03790;Q12408
Q03790;P38244
Q05166;P38742
Q05166;P53104
Q05166;P17261
Q05166;Q04602
Q05166;P38742
Q05166;P32343
Q05166;P34756
Q05166;Q07895
Q05166;P38873
Q05166;P38836
P48837;Q08743
P48837;P38310
P48837;P38821
P48837;Q02725
P48837;Q04749
P48837;P53011
P48837;P43560
P48837;P40003
P48837;Q04491
P48837;P33894
P52891;P38358
P52891;Q07376
P52891;Q12527
P52891;P40061
P52891;P32842
P52891;Q04491
P52891;P27801
P52891;Q04562
P52891;Q12301
P52891;Q12301
P46673;Q05637
P46673;P38821
P46673;P38142
P46673;P25613
P46673;Q05899
P46673;P38358
P46673;Q08474
P46673;P40451
P46673;Q04991
P46673;P40061
P14907;P40003
P14907;P38301
P14907;P25568
P14907;Q12301
P14907;Q04491
P14907;Q12016
P14907;Q04934
P14907;P38176
P14907;Q08001
P34077;P32912
P34077;Q99385
P34077;P37302
P34077;Q03897
P34077;Q12096
P34077;Q12527
P34077;P38316
P34077;P35845
P34077;Q08001
P34077;P53011
P35729;P38821
P35729;Q12042
P35729;P53290
P35729;P32939
P35729;Q04602
P35729;Q12241
P35729;P47170
P35729;P38310
P35729;Q03308
P35729;Q12241
P36161;P00729
P36161;P47075
P36161;Q03730
P36161;P25568
P36161;P22203
P36161;Q02725
P36161;Q12016
P36161;P38821
P36161;Q02948
P36161;P47818
P52593;P38244
P52593;Q12527
P52593;P38310
P52593;P34756
P52593;Q04602
P52593;Q07468
P52593;Q04119
P52593;Q08001
P52593;Q00582
P52593;P39968
Q02629;Q12241
Q02629;P37302
Q02629;Q12096
Q02629;P32366
Q02629;Q04329
Q02629;P47818
Q02629;Q04301
Q02629;Q04602
Q02629;P32837
Q02629;Q05902
Q02630;Q03899
Q02630;P32837
Q02630;Q03897
Q02630;Q07468
Q02630;P25591
Q02630;P53882
Q02630;P32837
Q02630;P53290
Q02630;P38247
Q02630;P47170
P49686;P34240
P49686;P32343
P49686;Q04562
P49686;P43560
P49686;P53273
P49686;P38959
P49686;P47082
P49686;Q08743
P49686;Q04119
P49686;Q12301
P40368;Q05899
P40368;P32366
P40368;Q12042
P40368;Q07549
P40368;P25568
P40368;Q03897
P40368;P32842
P40368;P38356
P40368;P25568
P40368;P53011
P40477;Q03897
P40477;Q00582
P40477;P38182
P40477;P38247
P40477;P32837
P40477;P40501
P40477;P32386
P40477;Q04562
P40477;P47082
P40477;P22855
P32500;P53191
P32500;P34240
P32500;P40152
P32500;Q04491
P32500;Q12096
P32500;P32842
P32500;P53129
P32500;P17255
P32500;P36051
P32500;Q02725
P47054;P27514
P47054;P25568
P47054;P40061
P47054;Q04749
P47054;P32842
P47054;P42836
P47054;Q99385
P47054;P27614
P47054;Q07468
P47054;Q08921
P06704;Q99385
P06704;P40501
P06704;P32366
P06704;P09232
P06704;P38182
P06704;P47818
P06704;Q02948
P06704;P53011
P06704;P53290
P06704;Q06708
Q12315;P32913
Q12315;P38182
Q12315;P38821
Q12315;Q06651
Q12315;P36062
Q12315;Q12003
Q12315;P38836
Q12315;P38929
Q12315;P38142
Q12315;P53882
Q08931;Q08236
Q08931;P00729
Q08931;P32343
Q08931;P38356
Q08931;Q12255
Q08931;P12868
Q08931;Q08474
Q08931;P38270
Q08931;P34756
Q08931;P17255
P47069;Q08474
P47069;Q12301
P47069;P40152
P47069;Q04272
P47069;P27801
P47069;Q99385
P47069;P47040
P47069;Q99190
P47069;Q12241
P47069;P38176
Q06616;P38273
Q06616;P38742
Q06616;P47170
Q06616;P33894
Q06616;P53747
Q06616;Q07376
Q06616;Q12473
Q06616;P38273
Q06616;P22203
Q06616;P42836
P53159;P25613
P53159;Q07376
P53159;Q07468
P53159;P14772
P53159;P38959
P53159;P39981
P53159;P43601
P53159;P38836
P53159;P38778
P53159;P39923
Q04964;P27801
Q04964;Q06708
Q04964;Q12016
Q04964;P38778
Q04964;P47170
Q04964;Q12042
Q04964;Q99190
Q04964;P38182
Q04964;P36051
Q04964;P32912
P12904;Q04491
P12904;P34756
P12904;P32343
P12904;Q08743
P12904;P32366
P12904;P43601
P12904;Q04491
P12904;Q12473
P12904;Q04491
P12904;Q08921
P08153;P53129
P08153;P38247
P08153;P18962
P08153;P40451
P08153;P22203
P08153;P32386
P08153;P53290
P08153;P32600
P08153;Q12096
P08153;Q12121
Q06568;Q04749
Q06568;Q04491
Q06568;P40152
Q06568;P38932
Q06568;Q12003
Q06568;P32837
Q06568;P36051
Q06568;P47170
Q06568;P38164
Q06568;P18962
P38632;Q08474
P38632;Q05902
P38632;P32837
P38632;Q04602
P38632;P32343
P38632;P37302
P38632;P38247
P38632;P38164
P38632;Q99190
P38632;P17261
P30822;P32912
P30822;Q04329
P30822;P00729
P30822;P38273
P30822;Q12324
P30822;P32837
P30822;P38247
P30822;P32913
P30822;P25613
P30822;P47170
Q08457;P25613
Q08457;P33894
Q08457;P42836
Q08457;P38270
Q08457;P34240
Q08457;Q07468
Q08457;P32609
Q08457;P53947
Q08457;Q12042
Q08457;P40501
Q12248;Q03730
Q12248;P38142
Q12248;Q12380
Q12248;P17261
Q12248;P17261
Q12248;P53950
Q12248;P40451
Q12248;P27514
Q12248;P34756
Q12248;Q12324
P36162;P38821
P36162;Q05521
P36162;Q12473
P36162;P38929
P36162;P38865
P36162;P50944
P36162;P25568
P36162;Q08474
P36162;P17255
P36162;P32837
Q03954;P32913
Q03954;P38142
Q03954;Q12380
Q03954;P47082
Q03954;P32318
Q03954;P38836
Q03954;P42836
Q03954;P47114
Q03954;Q12408
Q03954;Q08743
P35734;P38929
P35734;P53273
P35734;P32609
P35734;P40451
P35734;Q00582
P35734;P32578
P35734;Q07468
P35734;P53104
P35734;Q12255
P35734;P40061
P36131;P12868
P36131;P38821
P36131;P12868
P36131;Q99190
P36131;P40003
P36131;P38742
P36131;P43601
P36131;P40003
P36131;P53191
P36131;P38247
P53886;P32366
P53886;P38873
P53886;P17261
P53886;P38742
P53886;P38301
P53886;Q12096
P53886;P42836
P53886;P53882
P53886;P38742
P53886;P32609
P57743;Q04272
P57743;Q03897
P57743;P43601
P57743;P31412
P57743;P40451
P57743;P38273
P57743;P38270
P57743;P38821
P57743;P53273
P57743;P38932
P47093;P38356
P47093;Q02725
P47093;P41318
P47093;Q04119
P47093;P38959
P47093;P00729
P47093;P18962
P47093;Q04301
P47093;P53950
P47093;P41807
P53905;P32837
P53905;P38959
P53905;P42951
P53905;Q12301
P53905;P32939
P53905;Q12042
P53905;P38959
P53905;P40061
P53905;Q02948
P53905;P12868
P40070;P38358
P40070;P09232
P40070;P43601
P40070;Q08921
P40070;P42839
P40070;P32386
P40070;P53191
P40070;Q02725
P40070;Q07376
P40070;P38182
Q08702;Q04934
Q08702;P32913
Q08702;P27514
Q08702;P53104
Q08702;P47040
Q08702;P38778
Q08702;P47170
Q08702;Q04119
Q08702;P47114
Q08702;P36051
Q04751;P47040
Q04751;P32913
Q04751;P32842
Q04751;P25568
Q04751;P36062
Q04751;Q12121
Q04751;P53104
Q04751;P32842
Q04751;P14904
Q04751;Q08236
Q05541;P38865
Q05541;P38778
Q05541;Q12121
Q05541;Q12121
Q05541;P53747
Q05541;Q12042
Q05541;Q12301
Q05541;P47075
Q05541;Q99385
Q05541;Q08236
P32628;P17255
P32628;P32913
P32628;P53290
P32628;P33894
P32628;P53290
P32628;P40451
P32628;P39923
P32628;P40451
P32628;P12868
P32628;Q99385
P24309;P09232
P24309;P38778
P24309;P47075
P24309;P38742
P24309;Q05637
P24309;P40061
P24309;Q99385
P24309;P53950
P24309;Q04119
P24309;Q12324
P54730;P53273
P54730;P38164
P54730;P39923
P54730;P40003
P54730;P32837
P54730;Q12003
P54730;P38932
P54730;P35845
P54730;P20795
P54730;P40003
P34223;P38865
P34223;Q99385
P34223;P53104
P34223;P17255
P34223;Q07549
P34223;P32386
P34223;P47040
P34223;P32578
P34223;P31412
P34223;Q04491
P40208;Q04934
P40208;P38244
P40208;P53011
P40208;P38244
P40208;P32609
P40208;P38301
P40208;P32386
P40208;P38244
P40208;Q04119
P40208;P18962
P40026;P32912
P40026;Q12408
P40026;P32913
P40026;Q12241
P40026;P32578
P40026;P09232
P40026;P32842
P40026;P40152
P40026;Q06708
P40026;P07267
P08458;P39968
P08458;Q07468
P08458;P14904
P08458;P39968
P08458;P53011
P08458;P43560
P08458;P38932
P08458;P50944
P08458;Q02725
P08458;P14359
Q06682;P38310
Q06682;P36062
Q06682;Q05521
Q06682;Q12380
Q06682;P38142
Q06682;P14904
Q06682;P22855
Q06682;P40501
Q06682;P38959
Q06682;P38929
P36037;Q12331
P36037;P38821
P36037;P35845
P36037;P40451
P36037;P38821
P36037;P38742
P36037;Q12003
P36037;Q08001
P36037;P47170
P36037;Q12121
P25569;P17255
P25569;P53129
P25569;P38821
P25569;P38929
P25569;P38932
P25569;P32609
P25569;P32939
P25569;P40003
P25569;P34240
P25569;Q05521
P47116;Q03308
P47116;P31412
P47116;P38959
P47116;P38865
P47116;P22855
P47116;Q00582
P47116;P50944
P47116;P14772
P47116;P38164
P40547;P39968
P40547;P38244
P40547;Q08743
P40547;Q12301
P40547;P53947
P40547;Q05899
P40547;Q08921
P40547;P38959
P40547;P27514
P40547;Q07895
P53076;Q04749
P53076;P38821
P53076;P38176
P53076;P36051
P53076;Q99385
P53076;P39968
P53076;P32609
P53076;Q08743
P53076;Q08921
P53076;Q04119
P53168;P47818
P53168;P33894
P53168;Q12241
P53168;P53191
P53168;Q07376
P53168;Q04301
P53168;Q04301
P53168;Q04562
P53168;P37302
P53168;P36051
Q04675;Q05899
Q04675;P41318
Q04675;P38873
Q04675;Q05899
Q04675;P32609
Q04675;Q03897
Q04675;Q04934
Q04675;Q04491
Q04675;P32837
Q04675;P32578
P39707;P53011
P39707;Q99385
P39707;P18962
P39707;P42951
P39707;P38959
P39707;P00729
P39707;P25613
P39707;P34240
P39707;P32842
P39707;P38244
P16658;Q04119
P16658;Q12042
P16658;P34756
P16658;P40501
P16658;Q07549
P16658;P53950
P16658;P07267
P16658;P14772
P16658;P38329
P16658;P53129
Q02825;P32318
Q02825;P38959
Q02825;P38959
Q02825;P53129
Q02825;P38270
Q02825;Q04301
Q02825;P35845
Q02825;P38164
Q02825;P39923
Q02825;Q12016
P09938;P36062
P09938;P38164
P09938;P38778
P09938;Q05902
P09938;P38142
P09938;Q12331
P09938;P53838
P09938;P53838
P09938;Q05902
P09938;P41807
Q03898;P40061
Q03898;Q05521
Q03898;P47082
Q03898;Q07895
Q03898;Q02948
Q03898;Q04602
Q03898;P53882
Q03898;P34240
Q03898;P17261
Q03898;Q12301
P38872;P14772
P38872;P12868
P38872;P32600
P38872;Q07549
P38872;P38778
P38872;P47075
P38872;P50944
P38872;P38865
P38872;Q07468
P38872;P14772
Q03018;Q06651
Q03018;P40003
Q03018;P25568
Q03018;P36062
Q03018;P32318
Q03018;P50944
Q03018;P32343
Q03018;P38358
Q03018;P53011
Q03018;Q03899
P38170;P43560
P38170;P32842
P38170;Q12096
P38170;P32600
P38170;P41318
P38170;P22855
P38170;Q12473
P38170;Q12324
P38170;P20795
P38170;P18962
P34160;Q05637
P34160;Q00582
P34160;P42836
P34160;Q12255
P34160;P34240
P34160;P38182
P34160;P36062
P34160;Q08474
P34160;Q06651
P34160;P38821
P32504;P47075
P32504;P17261
P32504;P31412
P32504;P38182
P32504;P31412
P32504;P36051
P32504;Q12324
P32504;Q12380
P32504;Q04991
P32504;Q04301
P38283;Q99385
P38283;P20795
P38283;P14359
P38283;P40003
P38283;P38176
P38283;P22855
P38283;P32913
P38283;P40061
P38283;Q12121
P38283;P42951
P33419;Q05521
P33419;P41807
P33419;Q05902
P33419;P32366
P33419;P38821
P33419;P27614
P33419;P40451
P33419;P40857
P33419;P00729
P33419;P50944
P36094;Q08474
P36094;Q12527
P36094;Q05899
P36094;P25613
P36094;Q04991
P36094;Q12473
P36094;P32366
P36094;P47075
P36094;Q08474
P36094;P38929
P53968;Q12003
P53968;P14772
P53968;P07267
P53968;P41807
P53968;Q04119
P53968;P38358
P53968;Q12324
P53968;P53273
P53968;Q03897
P53968;P14772
P09547;P53838
P09547;P34756
P09547;Q08743
P09547;Q12241
P09547;Q03899
P09547;P40061
P09547;Q02725
P09547;P32318
P09547;P38356
P09547;Q12301
P32862;Q12473
P32862;P40152
P32862;P53191
P32862;Q04329
P32862;P38865
P32862;Q04119
P32862;Q04562
P32862;P14904
P32862;P38301
P32862;Q12473
P49687;Q12380
P49687;P43560
P49687;P32913
P49687;Q04119
P49687;P31412
P49687;P09232
P49687;P17261
P49687;P47170
P49687;P38821
P49687;P42836
Q92328;P38932
Q92328;P38270
Q92328;P53947
Q92328;Q03899
Q92328;Q03730
Q92328;P25568
Q92328;P38316
Q92328;P38176
Q92328;P38270
Q92328;P32939
Q07807;Q07376
Q07807;Q99385
Q07807;Q12301
Q07807;P14904
Q07807;Q05902
Q07807;P32837
Q07807;Q04562
Q07807;Q12380
Q07807;P25568
Q07807;P53273
Q04458;Q05637
Q04458;Q99385
Q04458;P36051
Q04458;P32600
Q04458;P39981
Q04458;P38270
Q04458;P17261
Q04458;P53947
Q04458;P38164
Q04458;P14904
P36130;Q04991
P36130;P31412
P36130;P14359
P36130;P36051
P36130;P53104
P36130;P38270
P36130;P38959
P36130;Q03730
P36130;P53838
P36130;Q05902
P47025;Q99190
P47025;P34756
P47025;P38742
P47025;Q08921
P47025;Q12241
P47025;P53290
P47025;P25568
P47025;P47040
P47025;Q99190
P47025;P53011
P54861;P38182
P54861;P32318
P54861;P32939
P54861;P53882
P54861;Q06651
P54861;P32386
P54861;Q03730
P54861;P53747
P54861;Q12380
P54861;P38959
P38793;P32366
P38793;P38329
P38793;P32609
P38793;P38929
P38793;P50944
P38793;P47075
P38793;Q04329
P38793;P38358
P38793;P32366
P38793;P40501
P08417;P38865
P08417;P47170
P08417;Q08236
P08417;P32386
P08417;Q03308
P08417;P53838
P08417;Q12473
P08417;P47170
P08417;Q04272
P08417;Q00582
Q08686;P39923
Q08686;P22203
Q08686;P47818
Q08686;P32912
Q08686;P41318
Q08686;Q04119
Q08686;P25613
Q08686;P53011
Q08686;Q04491
Q08686;P37302
Q06625;Q08921
Q06625;P41807
Q06625;P12868
Q06625;P38821
Q06625;Q12121
Q06625;P14359
Q06625;Q04119
Q06625;Q05899
Q06625;P25613
Q06625;P40003
Q08645;P38356
Q08645;P53290
Q08645;P53011
Q08645;P53011
Q08645;Q05521
Q08645;Q07468
Q08645;Q05902
Q08645;P20795
Q08645;P38310
Q08645;P53290
Q01574;P38932
Q01574;Q00582
Q01574;P32837
Q01574;P38358
Q01574;P38329
Q01574;P17261
Q01574;Q07376
Q01574;Q12241
Q01574;Q05521
Q01574;P38865
P25694;P38873
P25694;Q08474
P25694;P39981
P25694;P40152
P25694;Q03899
P25694;P40501
P25694;P40451
P25694;P34240
P25694;P47818
P25694;Q04602
Q99186;Q04119
Q99186;Q12527
Q99186;Q03730
Q99186;P34240
Q99186;Q07895
Q99186;Q07468
Q99186;P41318
Q99186;P47082
Q99186;P38142
Q99186;P38865
P38335;P39923
P38335;Q12003
P38335;Q02725
P38335;P38270
P38335;Q04272
P38335;P00729
P38335;P20795
P38335;P43601
P38335;Q07468
P38335;P32366
Q04835;Q99190
Q04835;P12868
Q04835;P35845
Q04835;Q12301
Q04835;P53273
Q04835;P38356
Q04835;P53947
Q04835;P12868
Q04835;P38873
Q04835;Q12301
P25639;Q03308
P25639;P14772
P25639;P53950
P25639;Q12408
P25639;Q12003
P25639;Q04934
P25639;P36051
P25639;P53273
P25639;P25613
P25639;P40451
Q12530;P07267
Q12530;P37302
Q12530;P32366
Q12530;Q04749
Q12530;P38836
Q12530;Q04991
Q12530;P38873
Q12530;Q04602
Q12530;Q03730
Q12530;P36062
P00724;P40003
P00724;P38310
P00724;P17261
P00724;Q03897
P00724;P18962
P00724;P34240
P00724;Q12016
P00724;P43601
P00724;P53838
Q01532;P40857
Q01532;Q03308
Q01532;P38176
Q01532;P38358
Q01532;P38316
Q01532;P17261
Q01532;P38247
Q01532;P32578
Q01532;P38316
Q01532;P38142
P07263;Q02205
P07263;Q04491
P07263;Q04119
P07263;P27801
P07263;Q03730
P07263;Q08474
P07263;Q04934
P07263;Q99190
P07263;P25613
P07263;Q12255
P06208;P38142
P06208;P42951
P06208;P17261
P06208;Q04749
P06208;P47818
P06208;Q12042
P06208;Q08236
P06208;P25591
P06208;P38959
P06208;P32939
P40825;P39968
P40825;P42951
P40825;P32386
P40825;Q12255
P40825;P38176
P40825;P32343
P40825;Q12324
P40825;P40152
P40825;P22203
P40825;Q03899
P07806;P18962
P07806;Q12473
P07806;P47818
P07806;Q07468
P07806;P41807
P07806;Q12096
P07806;P38142
P07806;Q07895
P07806;P38182
P07806;P40152
P38088;P32837
P38088;Q03897
P38088;Q99190
P38088;P38310
P38088;P38329
